country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Delhi,Delhi,"Pusa, Delhi - DPCC","19-03-2026 16:00:00",28.639652,77.146275,CO,60,101,85
India,Delhi,Delhi,"Pusa, Delhi - IMD","19-03-2026 16:00:00",28.636110,77.173332,PM10,31,247,110
India,Delhi,Delhi,"R K Puram, Delhi - DPCC","19-03-2026 16:00:00",28.563262,77.186937,PM2.5,65,310,124
India,Delhi,Delhi,"IGNOU_Maidan Garhi, Delhi - DPCC","19-03-2026 16:00:00","28.493624 ","77.201159 ",CO,112,119,117
India,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB","19-03-2026 16:00:00",28.6811736,77.3025234,OZONE,2,34,28
India,Delhi,Delhi,"IIT Delhi, Delhi - IITM","19-03-2026 16:00:00",28.542460,77.191651,PM10,28,311,115
India,Delhi,Delhi,"IIT Delhi, Delhi - IITM","19-03-2026 16:00:00",28.542460,77.191651,CO,1,64,42
India,Delhi,Delhi,"IIT Delhi, Delhi - IITM","19-03-2026 16:00:00",28.542460,77.191651,OZONE,4,55,18
India,Delhi,Delhi,"ITO, Delhi - CPCB","19-03-2026 16:00:00",28.628624,77.241060,NH3,2,7,4
India,Delhi,Delhi,"ITO, Delhi - CPCB","19-03-2026 16:00:00",28.628624,77.241060,OZONE,25,114,27
India,Delhi,Delhi,"JNU, Delhi - DPCC","19-03-2026 16:00:00","28.540721 ","77.168544 ",PM2.5,60,261,113
India,Delhi,Delhi,"JNU, Delhi - DPCC","19-03-2026 16:00:00","28.540721 ","77.168544 ",PM10,67,173,106
India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC","19-03-2026 16:00:00",28.695381,77.181665,PM2.5,63,332,126
India,Delhi,Delhi,"Aya Nagar, Delhi - IMD","19-03-2026 16:00:00",28.4706914,77.1099364,PM2.5,38,195,77
India,Delhi,Delhi,"Aya Nagar, Delhi - IMD","19-03-2026 16:00:00",28.4706914,77.1099364,PM10,39,199,107
India,Delhi,Delhi,"Bawana, Delhi - DPCC","19-03-2026 16:00:00",28.776200,77.051074,SO2,7,23,12
India,Delhi,Delhi,"Bawana, Delhi - DPCC","19-03-2026 16:00:00",28.776200,77.051074,CO,27,62,46
India,Delhi,Delhi,"Burari Crossing, Delhi - IMD","19-03-2026 16:00:00",28.7256504,77.2011573,CO,12,64,49
India,Delhi,Delhi,"Cantonment Area, Delhi - DPCC ","19-03-2026 16:00:00","28.594169 ","77.125100 ",PM2.5,16,83,32
India,Delhi,Delhi,"Cantonment Area, Delhi - DPCC ","19-03-2026 16:00:00","28.594169 ","77.125100 ",PM10,68,218,116
India,Delhi,Delhi,"Rohini, Delhi - DPCC","19-03-2026 16:00:00",28.732528,77.119920,NH3,12,21,17
India,Delhi,Delhi,"Shadipur, Delhi - CPCB","19-03-2026 16:00:00",28.6514781,77.1473105,PM2.5,80,335,180
India,Delhi,Delhi,"Shadipur, Delhi - CPCB","19-03-2026 16:00:00",28.6514781,77.1473105,OZONE,2,34,17
India,Delhi,Delhi,"Sirifort, Delhi - CPCB","19-03-2026 16:00:00",28.5504249,77.2159377,NO2,38,46,42
India,Delhi,Delhi,"Sonia Vihar, Delhi - DPCC","19-03-2026 16:00:00",28.710508,77.249485,PM10,72,213,131
India,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC","19-03-2026 16:00:00",28.531346,77.190156,NO2,25,59,40
India,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC","19-03-2026 16:00:00",28.531346,77.190156,NH3,5,10,7
India,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC","19-03-2026 16:00:00",28.531346,77.190156,OZONE,2,93,22
India,Delhi,Delhi,"Mundka, Delhi - DPCC","19-03-2026 16:00:00",28.684678,77.076574,CO,46,72,60
India,Delhi,Delhi,"NSUT Jaffarpur, Delhi - DPCC","19-03-2026 16:00:00","28.594004 ","76.909423 ",PM10,28,268,124
India,Delhi,Delhi,"NSUT Jaffarpur, Delhi - DPCC","19-03-2026 16:00:00","28.594004 ","76.909423 ",SO2,75,89,79
India,Delhi,Delhi,"Najafgarh, Delhi - DPCC","19-03-2026 16:00:00",28.570173,76.933762,SO2,NA,NA,NA
India,Delhi,Delhi,"Narela, Delhi - DPCC","19-03-2026 16:00:00",28.822836,77.101981,PM2.5,48,287,112
India,Delhi,Delhi,"Narela, Delhi - DPCC","19-03-2026 16:00:00",28.822836,77.101981,PM10,67,325,116
India,Delhi,Delhi,"Narela, Delhi - DPCC","19-03-2026 16:00:00",28.822836,77.101981,OZONE,8,151,44
India,Delhi,Delhi,"Chandni Chowk, Delhi - IITM","19-03-2026 16:00:00",28.656756,77.227234,PM10,77,268,146
India,Delhi,Delhi,"Commonwealth Sports Complex, Delhi - DPCC","19-03-2026 16:00:00","28.615828 ","77.271992 ",NH3,4,7,6
India,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC","19-03-2026 16:00:00",28.498571,77.264840,NO2,11,58,35
